Client,Industry,Platform,Content Type,Content Topic,Reach,Impressions,Likes,Comments,Clicks,Leads,Ad Spend,Performance Score
Client_2,Food,YouTube,Image,Tutorial,13369,16226,549,44,209,18,0,100
Client_6,Food,LinkedIn,Carousel,BehindScenes,3235,5389,287,26,101,8,191,89
Client_8,Fashion,Facebook,Video,Promo,4036,6275,166,9,74,4,0,67
Client_8,Fashion,TikTok,Image,BehindScenes,20571,26333,1040,61,376,28,0,100
Client_4,Finance,LinkedIn,Text,News,2782,4425,181,10,129,13,0,96
Client_3,Food,Instagram,Video,Promo,10471,16201,336,19,468,48,0,100
Client_7,Food,LinkedIn,Reel,News,2029,2748,55,3,27,1,0,30
Client_8,Food,LinkedIn,Video,News,3590,5182,302,11,119,7,0,99
Client_2,Health,Instagram,Text,Tutorial,14484,19291,834,37,203,21,0,100
Client_2,Finance,Facebook,Image,Promo,3465,4919,95,4,126,12,0,90
Client_3,Food,YouTube,Image,News,26261,34007,795,61,869,99,0,100
Client_1,Health,TikTok,Reel,Promo,16280,25148,314,14,647,38,0,100
Client_4,Health,Facebook,Carousel,Tutorial,1991,3082,52,1,47,4,0,42
Client_6,Fashion,TikTok,Reel,Tutorial,40709,61135,1562,141,1584,108,234,100
Client_7,Fashion,LinkedIn,Carousel,Tutorial,5661,9229,336,29,221,12,133,100
Client_7,Finance,YouTube,Reel,BehindScenes,22964,31146,1280,34,602,43,188,100
Client_8,Fashion,Instagram,Image,Education,7117,12064,277,14,254,19,159,100
Client_6,Food,Facebook,Image,News,2482,3378,148,13,71,8,0,70
Client_3,Fashion,YouTube,Text,BehindScenes,26243,36445,2071,86,1046,107,108,100
Client_7,Fashion,Instagram,Reel,News,10419,16508,340,31,383,37,0,100
Client_2,Fashion,Instagram,Reel,Tutorial,12116,18990,567,37,406,46,0,100
Client_4,Tech,Facebook,Video,Education,2601,3979,208,10,115,8,20,84
Client_2,Health,Instagram,Reel,Tutorial,7303,9223,256,24,165,17,0,100
Client_2,Fashion,Instagram,Carousel,News,7790,9655,515,20,200,12,0,100
Client_6,Health,LinkedIn,Image,Tutorial,2138,3208,49,2,74,5,0,54
Client_5,Tech,LinkedIn,Video,BehindScenes,2697,4271,201,7,118,7,0,87
Client_8,Fashion,LinkedIn,Video,Tutorial,2507,3841,163,3,80,4,187,60
Client_3,Finance,LinkedIn,Text,Tutorial,5436,7954,307,27,105,11,134,100
Client_4,Health,YouTube,Video,BehindScenes,21871,28095,628,40,513,40,0,100
Client_6,Food,TikTok,Carousel,Education,19262,26457,797,41,295,29,0,100
Client_5,Health,LinkedIn,Video,Tutorial,1770,2580,95,5,52,4,0,45
Client_3,Tech,LinkedIn,Video,Education,3953,5116,126,5,97,7,241,70
Client_8,Health,Facebook,Text,Education,5747,8056,82,4,209,22,222,100
Client_4,Tech,Facebook,Video,Tutorial,4953,7002,79,6,80,7,0,61
Client_5,Food,Instagram,Video,News,9315,14782,229,4,420,41,0,100
Client_6,Fashion,YouTube,Reel,News,21125,32171,1646,146,547,43,0,100
Client_4,Health,Facebook,Reel,Education,2736,4143,152,5,79,7,0,65
Client_7,Fashion,LinkedIn,Video,News,4240,5679,110,5,105,8,0,70
Client_6,Food,LinkedIn,Carousel,BehindScenes,2389,3176,107,4,90,7,0,65
Client_7,Health,LinkedIn,Carousel,BehindScenes,1253,1543,81,6,21,1,0,32
Client_6,Food,Instagram,Carousel,News,6533,8650,86,6,226,20,0,100
Client_5,Finance,Facebook,Reel,News,1142,1514,90,4,23,2,0,31
Client_2,Finance,LinkedIn,Reel,Tutorial,4037,4926,179,7,111,9,0,84
Client_5,Fashion,Facebook,Reel,Tutorial,4374,5696,139,11,106,11,0,81
Client_7,Finance,TikTok,Image,News,31756,43537,1078,28,477,39,164,100
Client_2,Health,LinkedIn,Reel,BehindScenes,1103,1471,66,2,16,1,0,19
Client_8,Food,YouTube,Text,News,35107,47722,1105,105,1058,53,144,100
Client_1,Fashion,YouTube,Image,Promo,41405,59758,2579,71,1188,106,204,100
Client_2,Health,YouTube,Reel,Tutorial,28365,35425,1494,83,684,56,0,100
Client_6,Food,LinkedIn,Reel,Education,5371,7254,111,6,209,17,172,100
Client_7,Health,YouTube,Reel,Promo,26853,34622,1680,133,891,63,0,100
Client_4,Finance,Instagram,Reel,Tutorial,5993,7360,348,10,97,6,0,95
Client_3,Finance,TikTok,Reel,Tutorial,22419,32674,1908,54,642,62,198,100
Client_2,Finance,TikTok,Image,News,17656,25515,724,53,676,79,0,100
Client_4,Health,TikTok,Text,Promo,36306,51037,3006,135,1321,108,155,100
Client_1,Health,Instagram,Video,BehindScenes,13386,19208,409,20,360,25,0,100
Client_3,Finance,LinkedIn,Video,Tutorial,3315,5461,70,6,153,7,55,85
Client_5,Tech,Facebook,Image,BehindScenes,1603,2137,39,0,62,3,0,46
Client_8,Finance,TikTok,Image,BehindScenes,26512,36551,1928,85,1018,82,0,100
Client_2,Health,Instagram,Reel,Tutorial,9433,14856,209,6,293,20,80,100
Client_2,Tech,LinkedIn,Carousel,Education,3463,5349,172,5,136,16,0,100
Client_3,Health,TikTok,Carousel,Education,10502,15372,814,42,413,38,0,100
Client_4,Food,Facebook,Reel,Promo,2958,4049,77,6,42,3,0,35
Client_3,Tech,Facebook,Carousel,News,5679,9616,175,16,112,12,249,86
Client_1,Fashion,YouTube,Video,Education,23575,28881,1079,50,551,36,0,100
Client_2,Health,YouTube,Image,BehindScenes,24313,32189,886,70,862,48,0,100
Client_7,Fashion,TikTok,Video,Promo,20749,27844,829,38,731,44,0,100
Client_1,Finance,YouTube,Carousel,Education,41603,67494,1263,57,1095,111,83,100
Client_4,Finance,TikTok,Carousel,Promo,17546,27271,1454,113,540,57,0,100
Client_1,Finance,YouTube,Carousel,Promo,23331,37071,1489,114,667,59,0,100
Client_7,Tech,TikTok,Image,News,32879,53343,881,18,984,59,124,100
Client_2,Finance,TikTok,Image,News,29787,46459,1519,146,1093,116,0,100
Client_1,Finance,Instagram,Reel,Promo,8226,13935,346,16,219,25,246,100
Client_2,Finance,TikTok,Text,Tutorial,11757,18724,698,57,260,23,0,100
Client_2,Finance,Instagram,Reel,BehindScenes,8816,13423,411,33,155,18,0,100
Client_5,Tech,TikTok,Carousel,BehindScenes,18109,23437,1379,64,472,31,0,100
Client_6,Tech,LinkedIn,Carousel,Promo,4353,6443,277,18,185,12,0,100
Client_8,Tech,TikTok,Carousel,News,19547,26388,1442,59,481,27,0,100
Client_5,Tech,LinkedIn,Text,Promo,2887,4276,233,12,47,2,0,56
Client_3,Fashion,Facebook,Video,BehindScenes,2372,3200,183,11,41,3,0,46
Client_7,Fashion,LinkedIn,Image,Tutorial,2192,3242,67,6,55,3,0,48
Client_7,Food,YouTube,Video,Promo,13683,20560,798,48,342,36,0,100
Client_1,Food,Facebook,Reel,BehindScenes,1781,2487,67,1,38,2,0,34
Client_6,Tech,YouTube,Text,BehindScenes,15284,19062,880,33,499,36,0,100
Client_1,Tech,YouTube,Image,Education,10873,17268,725,51,242,24,0,100
Client_5,Health,Facebook,Video,BehindScenes,3390,4913,118,4,111,12,0,79
Client_4,Finance,LinkedIn,Text,Tutorial,3797,5287,60,1,62,6,0,44
Client_3,Tech,LinkedIn,Carousel,Tutorial,4187,6152,347,12,97,10,0,100
Client_2,Health,YouTube,Image,News,18739,26364,272,9,590,70,0,100
Client_1,Tech,Facebook,Text,Promo,3453,4908,52,3,98,5,92,66
Client_5,Food,Facebook,Image,BehindScenes,1764,2785,88,3,53,5,0,50
Client_3,Food,Facebook,Text,Promo,1842,2472,112,10,45,4,0,42
Client_7,Fashion,Instagram,Video,BehindScenes,8942,13793,769,60,405,31,0,100
Client_5,Health,Instagram,Text,Tutorial,14411,22697,698,30,395,44,0,100
Client_6,Tech,YouTube,Image,Tutorial,33076,49872,669,28,702,79,234,100
Client_5,Tech,LinkedIn,Carousel,BehindScenes,6091,8586,352,14,201,21,177,100
Client_3,Finance,LinkedIn,Reel,Tutorial,1744,2623,139,13,35,3,0,37
Client_1,Health,LinkedIn,Video,BehindScenes,3994,5686,278,26,99,6,0,91
Client_7,Tech,Instagram,Text,BehindScenes,10497,13573,216,17,259,18,0,100
Client_3,Food,LinkedIn,Reel,Tutorial,4744,7067,135,3,170,14,0,100
Client_1,Food,LinkedIn,Carousel,Education,3653,5175,115,10,122,6,224,74
Client_6,Tech,LinkedIn,Text,Education,4707,7517,160,14,80,6,0,63
Client_3,Fashion,LinkedIn,Video,News,2188,3322,126,5,66,7,136,63
Client_1,Tech,LinkedIn,Carousel,Tutorial,2523,3525,112,4,68,3,0,55
Client_6,Food,TikTok,Reel,Promo,16201,22374,1327,67,227,16,0,100
