Client,Industry,Platform,Content Type,Content Topic,Reach,Impressions,Likes,Comments,Clicks,Leads,Ad Spend,Performance Score
Client_6,Finance,Facebook,Video,Tutorial,5848,9687,616,51,203,16,0,100
Client_9,Tech,Instagram,Video,Tutorial,3819,6753,502,53,185,16,0,100
Client_1,Tech,Instagram,Text,Promo,10684,14304,640,54,323,43,162,100
Client_9,Fashion,Facebook,Reel,Tutorial,4455,8120,175,12,110,7,160,100
Client_2,Tech,Facebook,Video,News,3168,4029,151,10,89,6,0,100
Client_9,Finance,Facebook,Carousel,Tutorial,7952,10306,624,37,407,58,0,100
Client_7,Health,TikTok,Carousel,Tutorial,9317,12531,521,60,247,34,0,100
Client_2,Finance,LinkedIn,Text,News,7460,11332,841,46,306,19,0,100
Client_9,Tech,YouTube,Reel,BehindScenes,14338,23353,1355,187,296,39,0,100
Client_3,Finance,YouTube,Text,Education,16360,20765,1344,81,705,49,0,100
Client_3,Food,LinkedIn,Carousel,News,4074,6246,125,6,237,17,0,100
Client_4,Fashion,TikTok,Video,Education,12008,21595,1668,145,758,41,0,100
Client_2,Tech,TikTok,Carousel,Education,12678,21911,879,103,472,62,0,100
Client_9,Tech,Instagram,Image,Promo,5817,7712,241,21,239,21,0,100
Client_2,Tech,YouTube,Video,News,8309,12893,765,111,373,33,0,100
Client_9,Tech,Facebook,Text,Tutorial,2943,3569,108,8,60,6,67,66
Client_7,Food,LinkedIn,Text,Education,2371,2929,158,21,94,9,0,94
Client_2,Finance,LinkedIn,Text,Promo,6544,8278,452,63,268,18,282,100
Client_9,Fashion,TikTok,Text,BehindScenes,16153,17802,536,33,611,73,0,100
Client_7,Tech,Facebook,Carousel,Education,2774,4164,242,18,94,7,0,100
Client_9,Tech,LinkedIn,Reel,Promo,3984,6863,479,43,135,16,0,100
Client_1,Food,TikTok,Video,News,17434,19597,900,63,411,40,0,100
Client_1,Health,LinkedIn,Image,Promo,2430,4115,316,27,73,10,0,100
Client_2,Food,LinkedIn,Reel,News,8289,13808,759,96,535,79,260,100
Client_5,Fashion,TikTok,Video,News,13592,17508,1037,143,241,33,0,100
Client_7,Health,TikTok,Reel,Tutorial,14065,24915,773,101,572,72,182,100
Client_8,Finance,LinkedIn,Video,BehindScenes,9877,18457,1102,63,434,34,178,100
Client_3,Food,LinkedIn,Image,Tutorial,5683,8558,367,39,227,28,288,100
Client_8,Tech,Facebook,Text,Tutorial,1367,2155,60,7,33,2,0,46
Client_2,Tech,YouTube,Reel,Education,19277,33753,935,78,985,75,0,100
Client_10,Fashion,TikTok,Video,Promo,11359,13365,713,66,476,67,0,100
Client_5,Food,Facebook,Video,Tutorial,1032,1524,42,3,57,6,0,72
Client_3,Health,YouTube,Reel,Education,11070,14565,607,68,569,78,0,100
Client_2,Tech,Instagram,Reel,BehindScenes,4962,8960,542,64,92,9,165,100
Client_3,Finance,YouTube,Video,News,15415,29192,1263,93,609,53,278,100
Client_2,Food,Instagram,Text,Promo,5145,9085,423,62,338,26,0,100
Client_7,Finance,TikTok,Text,Promo,12790,21718,929,137,770,106,35,100
Client_4,Health,YouTube,Carousel,Promo,11685,14044,924,108,406,44,0,100
Client_3,Food,TikTok,Image,News,15577,20232,440,27,487,72,126,100
Client_7,Finance,LinkedIn,Text,BehindScenes,6005,8073,581,55,91,9,0,100
Client_9,Finance,TikTok,Video,Promo,19450,29097,1466,119,627,52,0,100
Client_4,Food,YouTube,Text,Tutorial,18604,33144,2088,160,727,73,0,100
Client_5,Food,Instagram,Reel,Tutorial,5402,9033,414,54,122,12,0,100
Client_4,Tech,YouTube,Image,Promo,10444,14557,556,34,487,43,0,100
Client_4,Tech,YouTube,Text,News,14772,18538,699,78,437,38,0,100
Client_8,Fashion,YouTube,Video,BehindScenes,13675,19922,647,55,652,83,0,100
Client_9,Tech,Facebook,Carousel,Tutorial,3287,5119,245,35,53,3,0,82
Client_5,Food,Instagram,Carousel,Education,5318,8194,475,40,211,27,0,100
Client_1,Tech,YouTube,Video,News,10258,13112,512,72,461,28,0,100
Client_2,Finance,Facebook,Video,Promo,2838,4276,104,12,135,9,0,100
Client_4,Food,YouTube,Carousel,Education,19624,23548,836,113,681,65,0,100
Client_1,Tech,Facebook,Video,Education,6040,11521,345,26,326,45,197,100
Client_8,Food,TikTok,Reel,Tutorial,15627,20526,663,70,607,78,0,100
Client_1,Fashion,Facebook,Video,News,7954,13680,883,99,501,43,0,100
Client_6,Finance,TikTok,Video,Tutorial,12631,19389,1432,168,286,41,0,100
Client_2,Tech,Instagram,Image,Tutorial,4738,6980,384,20,168,23,0,100
Client_1,Tech,YouTube,Text,BehindScenes,9061,15637,772,59,270,32,0,100
Client_10,Tech,Facebook,Text,Promo,4176,5912,323,41,158,20,210,100
Client_10,Tech,LinkedIn,Reel,Promo,4197,6417,444,65,192,23,0,100
Client_4,Food,LinkedIn,Image,Tutorial,9651,14944,327,34,491,72,293,100
Client_2,Fashion,TikTok,Reel,BehindScenes,9912,16998,1084,77,465,30,0,100
Client_7,Tech,Facebook,Image,Education,10974,20920,1375,145,395,34,101,100
Client_1,Finance,LinkedIn,Text,BehindScenes,3468,5931,173,19,78,6,254,77
Client_10,Tech,Instagram,Text,Tutorial,7321,11283,460,52,279,34,255,100
Client_10,Tech,Facebook,Carousel,News,4184,4893,185,11,90,7,0,90
Client_5,Tech,YouTube,Carousel,BehindScenes,16587,24310,1640,137,552,46,0,100
Client_1,Health,LinkedIn,Carousel,Education,2646,4955,277,39,120,16,139,100
Client_2,Finance,LinkedIn,Text,Education,3797,5405,154,19,197,26,0,100
Client_3,Fashion,YouTube,Image,News,11835,21025,1635,178,411,56,0,100
Client_5,Fashion,Instagram,Image,Tutorial,2731,4510,225,16,171,10,0,100
Client_3,Health,Instagram,Image,Tutorial,5485,7148,228,25,202,29,0,100
Client_7,Food,LinkedIn,Reel,News,9478,11716,311,36,193,25,44,100
Client_7,Finance,YouTube,Carousel,News,16075,24505,552,31,893,125,0,100
Client_7,Health,Facebook,Video,Promo,5308,7086,465,49,256,26,289,100
Client_4,Food,TikTok,Carousel,Education,23233,37636,759,89,503,72,41,100
Client_8,Food,Instagram,Text,Tutorial,5391,6699,305,17,101,14,213,100
Client_1,Fashion,YouTube,Carousel,BehindScenes,27298,42305,2159,123,1576,151,71,100
Client_7,Finance,Facebook,Reel,BehindScenes,6797,8759,459,27,250,32,0,100
Client_8,Finance,Instagram,Text,Tutorial,2126,3744,191,20,133,18,0,100
Client_8,Tech,Facebook,Image,Tutorial,4732,7006,522,58,140,7,247,100
Client_4,Tech,TikTok,Video,Education,9627,16494,462,46,352,38,0,100
Client_1,Fashion,TikTok,Reel,Tutorial,11116,19902,953,129,516,41,0,100
Client_9,Tech,LinkedIn,Reel,Tutorial,7509,8796,634,45,133,12,0,100
Client_3,Finance,YouTube,Reel,News,21316,29852,2311,311,605,61,249,100
Client_5,Finance,Instagram,Video,Promo,5457,7647,275,31,174,9,0,100
Client_3,Food,LinkedIn,Text,News,2587,3208,114,13,85,7,205,75
Client_10,Fashion,LinkedIn,Image,Education,4563,6501,426,32,252,34,0,100
Client_5,Finance,TikTok,Video,Tutorial,18945,31205,1369,144,340,31,0,100
Client_3,Fashion,TikTok,Reel,Promo,16521,18382,1146,94,660,35,0,100
Client_3,Health,YouTube,Image,Promo,15206,21842,956,135,818,83,0,100
